127.0.0.1 - - [27/Apr/2020:14:44:28 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:29 +0530] "GET /StrutsDemo/ HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:36 +0530] "GET /StrutsDemo/index.action HTTP/1.1" 200 5070
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:36 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:36 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:37 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:44:43 +0530] "GET /StrutsDemo/newEmployee.action HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:45:40 +0530] "GET /StrutsDemo/teacherList HTTP/1.1" 200 4631
